,latitude,longitude,category
1969,47.180556,-124.197778,[Mammals]
1970,47.190833,-124.200556,[Mammals]
1971,47.190833,-124.200556,[Mammals]
1972,47.190833,-124.200556,[Mammals]
1973,47.190833,-124.200556,[Mammals]
1974,47.190833,-124.200556,[Mammals]
1975,47.190833,-124.200556,[Mammals]
1976,47.190833,-124.200556,[Mammals]
1977,47.190833,-124.200556,[Mammals]
1978,47.190833,-124.200556,[Mammals]
1979,47.190833,-124.200556,[Mammals]
1980,47.190833,-124.200556,[Mammals]
1981,47.190833,-124.200556,[Mammals]
1982,47.190833,-124.200556,[Mammals]
1983,47.190833,-124.200556,[Mammals]
1984,47.190833,-124.200556,[Mammals]
1985,47.190833,-124.200556,[Mammals]
1986,47.190833,-124.200556,[Mammals]
1987,47.190833,-124.200556,[Mammals]
1988,47.190833,-124.200556,[Mammals]
1989,47.190833,-124.200556,[Mammals]
1990,47.190833,-124.200556,[Mammals]
1991,47.190833,-124.200556,[Mammals]
1992,47.190833,-124.200556,[Mammals]
1993,47.190833,-124.200556,[Mammals]
1994,47.190833,-124.200556,[Mammals]
1995,47.190833,-124.200556,[Mammals]
1996,47.190833,-124.200556,[Mammals]
1997,47.190833,-124.200556,[Mammals]
1998,47.190833,-124.200556,[Mammals]
1999,47.190833,-124.200556,[Mammals]
2000,47.190833,-124.200556,[Mammals]
2001,47.190833,-124.200556,[Mammals]
2002,47.190833,-124.200556,[Mammals]
2003,47.190833,-124.200556,[Mammals]
2004,47.190833,-124.200556,[Mammals]
2005,47.190833,-124.200556,[Mammals]
2006,47.190833,-124.200556,[Mammals]
2007,47.190833,-124.200556,[Mammals]
2008,47.190833,-124.200556,[Mammals]
2009,47.190833,-124.200556,[Mammals]
2010,47.190833,-124.200556,[Mammals]
2011,47.190833,-124.200556,[Mammals]
2012,47.190833,-124.200556,[Mammals]
2013,47.190833,-124.200556,[Mammals]
2014,47.190833,-124.200556,[Mammals]
2015,47.190833,-124.200556,[Mammals]
2016,47.190833,-124.200556,[Mammals]
2017,47.068056,-124.175,[Mammals]
2018,47.068056,-124.175,[Mammals]
2019,47.068056,-124.175,[Mammals]
2020,47.068056,-124.175,[Mammals]
2021,47.068056,-124.175,[Mammals]
2022,47.068056,-124.175,[Mammals]
2023,47.068056,-124.175,[Mammals]
2024,47.068056,-124.175,[Mammals]
2025,47.068056,-124.175,[Mammals]
2026,47.068056,-124.175,[Mammals]
2027,47.068056,-124.175,[Mammals]
2028,47.068056,-124.175,[Mammals]
2029,47.068056,-124.175,[Mammals]
2030,47.068056,-124.175,[Mammals]
2031,47.068056,-124.175,[Mammals]
2032,47.068056,-124.175,[Mammals]
2033,47.068056,-124.175,[Mammals]
2034,47.068056,-124.175,[Mammals]
2035,47.068056,-124.175,[Mammals]
2036,47.068056,-124.175,[Mammals]
2037,47.068056,-124.175,[Mammals]
2038,47.068056,-124.175,[Mammals]
2039,47.068056,-124.175,[Mammals]
2040,47.068056,-124.175,[Mammals]
2041,47.068056,-124.175,[Mammals]
2042,47.068056,-124.175,[Mammals]
2043,47.068056,-124.175,[Mammals]
2044,47.068056,-124.175,[Mammals]
2045,47.068056,-124.175,[Mammals]
2046,47.068056,-124.175,[Mammals]
2047,47.068056,-124.175,[Mammals]
2048,47.068056,-124.175,[Mammals]
